Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Wake Forest,Atlantic Coast,35-27,0.565,67,8.20,83,7.11,39,9.67,133,3.19,0.37,52,7.09
SE Missouri St,OH Valley,39-21,0.650,68,8.19,46,8.21,31,9.90,79,4.06,0.27,170,5.36
Duke,Atlantic Coast,33-24,0.579,69,8.19,92,6.94,196,7.75,27,4.93,0.30,57,7.05
Georgia,Southeastern,27-30,0.474,70,8.19,80,7.25,125,8.66,63,4.34,0.41,4,7.95
Iowa,Big 10,30-26,0.536,71,8.17,55,7.96,93,8.98,38,4.73,0.35,95,6.46
Kent,Mid-American,44-14,0.759,72,8.17,73,7.45,98,8.92,66,4.28,0.17,201,4.90
Utah,Pac 12,26-29,0.473,73,8.17,81,7.23,77,9.19,97,3.78,0.39,11,7.80
Fresno St,Mountain West,36-22,0.621,74,8.16,76,7.36,115,8.78,64,4.34,0.30,107,6.34
Loy Marymount,West Coast,26-27,0.491,75,8.16,64,7.81,103,8.89,44,4.68,0.20,40,7.22
UC Irvine,Big West,31-25,0.554,76,8.16,82,7.22,86,9.03,86,3.94,0.28,59,7.02
Arkansas,Southeastern,26-29,0.473,77,8.15,79,7.32,46,9.59,119,3.48,0.16,41,7.20
Illinois,Big 10,28-23,0.549,78,8.14,74,7.41,154,8.32,32,4.84,0.28,73,6.81
Lamar,Southland,35-19,0.648,79,8.13,85,7.11,80,9.13,103,3.72,0.22,139,5.88
Kansas St,Big 12,26-31,0.456,80,8.12,70,7.58,52,9.52,96,3.81,0.24,29,7.38
Indiana,Big 10,32-24,0.571,81,8.11,77,7.36,156,8.29,33,4.83,0.30,98,6.42
Cal Poly,Big West,32-25,0.561,82,8.11,87,7.05,102,8.90,91,3.90,0.42,76,6.76
North Florida,Atlantic Sun,39-19,0.672,83,8.10,66,7.75,41,9.66,95,3.84,0.29,190,5.10
Northwestern LA,Southland,33-24,0.579,84,8.10,89,6.96,178,7.99,40,4.72,0.14,103,6.36
Maryland,Big 10,30-27,0.526,85,8.09,75,7.40,124,8.69,57,4.46,0.17,82,6.72
Bryant,Northeast,47-12,0.797,86,8.09,78,7.35,56,9.48,112,3.62,0.21,272,3.61
Marshall,Conference USA,34-21,0.618,87,8.09,90,6.96,109,8.85,94,3.86,0.27,124,6.13
Auburn,Southeastern,23-33,0.411,88,8.09,59,7.88,44,9.63,83,4.00,0.25,55,7.07
Ga Southern,Sun Belt,36-24,0.600,89,8.09,88,7.03,134,8.56,74,4.23,0.16,118,6.22
Creighton,Big East,38-17,0.691,90,8.08,106,6.63,189,7.83,54,4.55,0.26,157,5.59
Baylor,Big 12,24-29,0.453,91,8.08,94,6.92,85,9.05,111,3.62,0.25,19,7.65
Notre Dame,Atlantic Coast,27-27,0.500,92,8.06,95,6.89,161,8.22,59,4.42,0.18,54,7.08
CS Northridge,Big West,33-22,0.600,93,8.05,91,6.96,171,8.03,45,4.67,0.34,127,6.10
UT Arlington,Sun Belt,30-28,0.517,94,8.04,84,7.11,75,9.21,109,3.65,0.22,83,6.70
San Diego,West Coast,27-29,0.482,95,8.03,97,6.85,65,9.27,127,3.32,0.26,46,7.16
UC Riverside,Big West,26-29,0.473,96,8.03,86,7.05,145,8.40,61,4.40,0.29,50,7.10
Missouri,Southeastern,26-30,0.464,97,8.02,93,6.93,101,8.91,98,3.77,0.22,60,7.01
S Illinois,Missouri Val,31-25-1,0.553,98,8.00,101,6.74,183,7.88,50,4.61,0.22,109,6.33
Troy,Sun Belt,32-26,0.552,99,8.00,98,6.85,153,8.33,68,4.26,0.21,119,6.22
Old Dominion,Conference USA,32-24,0.571,100,7.97,118,6.36,139,8.50,114,3.62,0.17,111,6.32
Seattle,Western Athletic,37-21,0.638,101,7.97,103,6.71,131,8.58,93,3.88,0.40,177,5.27
McNeese St,Southland,31-25,0.554,102,7.97,102,6.71,137,8.54,89,3.92,0.29,117,6.22
Oral Roberts,Summit Lg,38-21,0.644,103,7.96,112,6.52,130,8.60,107,3.67,0.39,169,5.38
Texas St,Sun Belt,31-28,0.525,104,7.96,100,6.79,133,8.57,84,3.98,0.19,110,6.33
Austin Peay,OH Valley,34-23,0.596,105,7.95,109,6.53,27,9.97,208,2.31,0.33,147,5.68
Florida Intl,Conference USA,29-29,0.500,106,7.95,107,6.60,116,8.76,116,3.58,0.19,86,6.63
Bradley,Missouri Val,27-21,0.563,107,7.94,105,6.66,162,8.20,75,4.21,0.21,156,5.60
Pittsburgh,Atlantic Coast,25-26,0.490,108,7.94,111,6.52,79,9.15,139,3.12,0.16,94,6.51
Mercer,Southern,38-23,0.623,109,7.93,96,6.86,36,9.70,154,2.91,0.23,187,5.17
Jacksonville,Atlantic Sun,33-22,0.600,110,7.93,110,6.53,150,8.36,90,3.92,0.28,159,5.52
Utah Valley,Western Athletic,37-23,0.617,111,7.93,134,6.06,126,8.65,135,3.16,0.17,144,5.76
Jacksonville St,OH Valley,34-24,0.586,112,7.92,113,6.51,10,10.58,249,1.68,0.29,148,5.67
Xavier,Big East,32-30,0.516,113,7.91,104,6.67,106,8.85,117,3.57,0.30,114,6.29
Hawaii,Big West,23-30,0.434,114,7.91,115,6.42,168,8.10,78,4.07,0.20,63,6.99
New Orleans,Southland,31-26,0.544,115,7.90,128,6.15,54,9.50,198,2.41,0.32,129,6.03
UNLV,Mountain West,24-32,0.429,116,7.89,149,5.85,99,8.91,173,2.69,0.26,30,7.38
San Francisco,West Coast,22-34,0.393,117,7.88,114,6.47,132,8.57,110,3.65,0.30,36,7.30
SF Austin,Southland,30-30,0.500,118,7.88,117,6.38,45,9.62,189,2.51,0.26,102,6.38
Arkansas St,Sun Belt,29-29,0.500,119,7.87,123,6.22,66,9.27,171,2.70,0.25,99,6.41
Cincinnati,American Athletic,26-30-1,0.465,120,7.86,137,6.03,208,7.54,73,4.24,0.34,67,6.89
Col Charleston,Colonial,31-26-1,0.543,121,7.86,120,6.32,144,8.40,108,3.67,0.37,137,5.90
UNC Greensboro,Southern,38-21,0.644,122,7.86,116,6.42,33,9.83,206,2.34,0.41,211,4.72
Morehead St,OH Valley,32-27,0.542,123,7.85,99,6.83,73,9.22,124,3.36,0.49,171,5.35
New Mexico St,Western Athletic,34-23,0.596,124,7.85,132,6.08,76,9.20,181,2.63,0.29,165,5.43
Cent Arkansas,Southland,29-27,0.518,125,7.84,130,6.11,164,8.16,104,3.69,0.42,130,6.01
San Diego St,Mountain West,21-38,0.356,126,7.84,108,6.58,118,8.74,115,3.59,0.25,34,7.33
Santa Clara,West Coast,23-29,0.442,127,7.84,129,6.14,142,8.45,122,3.43,0.35,75,6.77
Evansville,Missouri Val,29-27,0.518,128,7.83,121,6.30,151,8.35,105,3.69,0.28,132,5.95
Samford,Southern,35-26,0.574,129,7.83,126,6.20,112,8.84,140,3.11,0.34,167,5.39
Penn St,Big 10,28-27,0.509,130,7.82,138,6.01,170,8.07,106,3.69,0.27,125,6.12
UCF,American Athletic,26-33,0.441,131,7.80,119,6.35,163,8.18,87,3.93,0.22,105,6.35
Hartford,America East,37-18,0.673,132,7.79,136,6.04,84,9.06,170,2.73,0.22,229,4.44
Air Force,Mountain West,30-27,0.526,133,7.78,143,5.91,62,9.30,203,2.36,0.31,143,5.78
Liberty,Big South,31-28,0.525,134,7.78,133,6.07,57,9.46,202,2.36,0.22,145,5.75
Wichita St,Missouri Val,21-37,0.362,135,7.78,122,6.24,50,9.54,194,2.44,0.43,48,7.13
Washington St,Pac 12,19-35,0.352,136,7.77,148,5.86,141,8.46,136,3.14,0.21,28,7.41
WKU,Conference USA,24-30,0.444,137,7.76,153,5.64,158,8.25,138,3.13,0.21,79,6.75
W Carolina,Southern,31-31,0.500,138,7.76,142,5.93,34,9.82,239,1.86,0.25,134,5.94
Belmont,OH Valley,33-27,0.550,139,7.75,124,6.21,49,9.55,197,2.41,0.19,186,5.22
UAB,Conference USA,21-34,0.382,140,7.75,125,6.21,182,7.90,80,4.06,0.31,80,6.75
Ark Little Rock,Sun Belt,26-28,0.481,141,7.75,145,5.88,43,9.64,234,1.99,0.15,131,5.96
Kansas,Big 12,20-35-1,0.366,142,7.74,150,5.85,96,8.94,177,2.66,0.31,56,7.05
Kennesaw,Atlantic Sun,29-27,0.518,143,7.74,144,5.89,100,8.91,167,2.73,0.20,149,5.67
Charlotte,Conference USA,23-32,0.418,144,7.74,140,5.98,92,8.99,166,2.74,0.14,92,6.55
FGCU,Atlantic Sun,27-32,0.458,145,7.72,139,5.99,113,8.80,153,2.94,0.19,126,6.12
Rutgers,Big 10,27-28,0.491,146,7.72,147,5.86,127,8.64,152,2.97,0.32,154,5.62
WI Milwaukee,Horizon,32-26,0.552,147,7.72,152,5.67,172,8.03,123,3.39,0.22,180,5.25
Valparaiso,Horizon,30-28,0.517,148,7.71,141,5.94,88,9.02,175,2.67,0.20,166,5.41
Seton Hall,Big East,38-20,0.655,149,7.71,155,5.59,206,7.57,100,3.76,0.28,240,4.23
CS Sacramento,Western Athletic,30-28,0.517,150,7.71,159,5.49,226,7.31,88,3.92,0.24,142,5.78
Ball St,Mid-American,32-26,0.552,151,7.70,131,6.10,74,9.21,180,2.63,0.37,194,5.04
Grand Canyon,Western Athletic,25-28-1,0.472,152,7.70,135,6.05,114,8.78,148,3.02,0.15,150,5.67
UC Davis,Big West,17-36,0.321,153,7.69,127,6.16,111,8.84,142,3.07,0.16,58,7.03
High Point,Big South,32-24,0.571,154,7.68,158,5.54,160,8.23,143,3.07,0.26,191,5.09
Tennessee Tech,OH Valley,31-24,0.564,155,7.67,146,5.87,67,9.27,204,2.35,0.23,212,4.70
South Florida,American Athletic,24-33,0.421,156,7.67,156,5.57,176,7.99,126,3.33,0.19,101,6.39
VCU,Atlantic 10,38-19,0.667,157,7.67,180,4.90,203,7.61,147,3.04,0.22,216,4.61
Pacific,West Coast,22-30,0.423,158,7.66,168,5.25,157,8.27,169,2.73,0.24,93,6.52
St John's,Big East,28-26-1,0.518,159,7.65,151,5.76,129,8.61,156,2.89,0.16,188,5.13
William & Mary,Colonial,31-31,0.500,160,7.64,170,5.14,107,8.85,231,2.04,0.28,141,5.81
UT San Antonio,Conference USA,17-34,0.333,161,7.63,164,5.32,123,8.71,201,2.36,0.14,49,7.11
Memphis,American Athletic,22-39,0.361,162,7.62,157,5.55,159,8.24,145,3.06,0.13,87,6.61
MTSU,Conference USA,20-35,0.364,163,7.62,171,5.10,187,7.85,150,3.00,0.13,65,6.92
Alabama St,Southwestern AC,38-17,0.691,164,7.61,160,5.48,117,8.76,192,2.46,0.24,292,2.25
Lipscomb,Atlantic Sun,31-27,0.534,165,7.61,165,5.30,108,8.85,220,2.21,0.25,210,4.75
Stetson,Atlantic Sun,29-31,0.483,166,7.59,162,5.39,192,7.82,128,3.32,0.18,158,5.55
St Joseph's PA,Atlantic 10,31-23,0.574,167,7.58,154,5.63,149,8.37,149,3.02,0.25,230,4.43
Gardner Webb,Big South,37-21,0.638,168,7.57,167,5.25,210,7.54,120,3.46,0.36,261,3.78
Houston Bap,Southland,24-29,0.453,169,7.56,173,5.09,209,7.54,129,3.30,0.34,153,5.67
Northeastern,Colonial,31-27,0.534,170,7.56,163,5.33,236,7.12,85,3.96,0.14,202,4.90
Navy,Patriot League,43-16-1,0.725,171,7.55,174,5.07,197,7.75,141,3.07,0.27,282,3.05
Furman,Southern,29-30,0.492,172,7.53,181,4.90,146,8.39,215,2.26,0.22,164,5.44
ULM,Sun Belt,20-35,0.364,173,7.53,196,4.63,204,7.60,163,2.78,0.20,84,6.70
Nicholls St,Southland,26-30,0.464,174,7.52,183,4.85,202,7.61,151,2.99,0.26,183,5.23
San Jose St,Mountain West,17-39,0.304,175,7.52,199,4.60,186,7.86,191,2.49,0.20,47,7.15
Portland,West Coast,17-37,0.315,176,7.51,191,4.73,205,7.58,155,2.90,0.15,64,6.97
IL Chicago,Horizon,25-30,0.455,177,7.51,166,5.30,190,7.82,131,3.22,0.30,174,5.32
Illinois St,Missouri Val,17-37,0.315,178,7.50,172,5.09,169,8.09,165,2.75,0.17,85,6.69
Rhode Island,Atlantic 10,31-27,0.534,179,7.48,190,4.73,184,7.87,183,2.61,0.24,198,4.91
Binghamton,America East,30-25,0.545,180,7.48,161,5.47,148,8.37,158,2.84,0.42,241,4.22
Miami OH,Mid-American,27-29,0.482,181,7.47,195,4.65,195,7.77,182,2.62,0.25,179,5.26
Florida A&M,Mid-Eastern AC,31-21,0.596,182,7.47,175,5.05,89,9.02,243,1.78,0.44,263,3.77
Delaware,Colonial,32-22,0.593,183,7.47,197,4.62,120,8.73,252,1.64,0.27,244,4.12
NE Omaha,Summit Lg,28-28,0.500,184,7.46,176,5.03,174,8.02,164,2.76,0.28,207,4.78
Campbell,Big South,26-27,0.491,185,7.46,187,4.80,179,7.98,187,2.57,0.35,195,5.03
Virginia Tech,Atlantic Coast,19-36,0.345,186,7.46,169,5.15,119,8.73,224,2.17,0.16,122,6.17
N Illinois,Mid-American,24-32,0.429,187,7.45,185,4.84,140,8.47,227,2.11,0.24,161,5.49
Wofford,Southern,30-28,0.517,188,7.44,198,4.61,173,8.03,207,2.34,0.18,205,4.81
C Michigan,Mid-American,24-37,0.393,189,7.43,177,5.02,199,7.72,146,3.05,0.34,155,5.60
Murray St,OH Valley,27-29,0.482,190,7.43,201,4.58,104,8.87,260,1.45,0.37,204,4.83
Princeton,Ivy League,24-21,0.533,191,7.42,184,4.84,219,7.39,132,3.20,0.27,219,4.54
Winthrop,Big South,28-27,0.509,192,7.41,182,4.88,180,7.94,174,2.68,0.21,225,4.47
Abilene Chr,Southland,16-37,0.302,193,7.41,178,4.97,231,7.21,118,3.50,0.23,88,6.59
Oakland,Horizon,24-27,0.471,194,7.41,216,4.07,194,7.78,232,2.03,0.09,185,5.23
TAM C. Christi,Southland,19-32,0.373,195,7.39,188,4.79,232,7.20,125,3.35,0.18,152,5.67
E Kentucky,OH Valley,24-31,0.436,196,7.39,186,4.80,165,8.16,199,2.40,0.22,197,4.93
E Michigan,Mid-American,23-36,0.390,197,7.39,206,4.39,212,7.50,179,2.64,0.18,138,5.89
CS Bakersfield,Western Athletic,19-37,0.339,198,7.37,192,4.72,138,8.52,235,1.95,0.32,133,5.94
Richmond,Atlantic 10,28-24,0.538,199,7.35,179,4.92,147,8.37,209,2.30,0.25,271,3.63
ETSU,Southern,27-30,0.474,200,7.35,194,4.66,48,9.57,279,0.84,0.29,218,4.58
Georgia St,Sun Belt,24-31,0.436,201,7.35,204,4.42,175,7.99,223,2.18,0.26,206,4.80
Ohio,Mid-American,23-29,0.442,202,7.35,200,4.58,177,7.99,205,2.34,0.14,200,4.91
Longwood,Big South,32-27,0.542,203,7.34,217,4.05,218,7.41,200,2.39,0.23,221,4.51
SC Upstate,Atlantic Sun,22-30,0.423,204,7.34,202,4.56,166,8.12,222,2.19,0.34,193,5.06
Toledo,Mid-American,19-38-1,0.336,205,7.33,203,4.51,215,7.48,162,2.78,0.27,135,5.92
Stony Brook,America East,27-27,0.500,206,7.33,189,4.74,229,7.27,130,3.23,0.35,246,4.06
Davidson,Atlantic 10,28-26,0.519,207,7.32,222,3.95,193,7.80,237,1.90,0.34,222,4.50
Columbia,Ivy League,17-24,0.415,208,7.31,207,4.30,181,7.94,226,2.12,0.25,172,5.34
St Louis,Atlantic 10,25-31,0.446,209,7.31,193,4.68,201,7.62,159,2.81,0.39,215,4.61
Elon,Colonial,25-29,0.463,210,7.31,211,4.15,95,8.95,276,0.94,0.23,203,4.86
Bethune-Cookman,Mid-Eastern AC,29-27,0.518,211,7.31,218,4.01,211,7.51,217,2.25,0.24,228,4.46
Northwestern,Big 10,15-39,0.278,212,7.28,221,3.95,167,8.11,254,1.59,0.05,89,6.59
Fairfield,Metro Atlantic,32-26,0.552,213,7.27,209,4.29,214,7.48,188,2.56,0.20,267,3.69
Presbyterian,Big South,27-30,0.474,214,7.27,205,4.40,185,7.87,211,2.28,0.33,234,4.34
N Dakota St,Summit Lg,31-25,0.554,215,7.26,228,3.81,252,6.87,172,2.69,0.39,257,3.85
Canisius,Metro Atlantic,32-27,0.542,216,7.26,210,4.24,224,7.33,178,2.66,0.24,269,3.64
Holy Cross,Patriot League,30-27,0.526,217,7.25,215,4.10,258,6.79,144,3.07,0.12,262,3.77
UMBC,America East,28-23,0.549,218,7.23,224,3.88,220,7.37,213,2.27,0.41,273,3.58
Radford,Big South,19-39,0.328,219,7.22,213,4.13,216,7.45,195,2.43,0.23,151,5.67
W Michigan,Mid-American,22-34,0.393,220,7.22,233,3.56,238,7.08,218,2.23,0.28,176,5.29
James Madison,Colonial,24-31,0.436,221,7.20,234,3.53,143,8.42,277,0.86,0.22,199,4.91
S Dakota St,Summit Lg,22-35,0.386,222,7.19,208,4.30,152,8.34,247,1.71,0.18,214,4.66
Georgetown,Big East,25-29,0.463,223,7.19,237,3.51,239,7.07,221,2.19,0.23,232,4.41
PFW,Summit Lg,32-26,0.552,224,7.19,241,3.28,245,6.96,229,2.06,0.22,270,3.64
St Bonaventure,Atlantic 10,26-22-1,0.541,225,7.18,212,4.14,277,6.43,121,3.46,0.23,278,3.30
Appalachian St,Sun Belt,18-36,0.333,226,7.17,226,3.84,225,7.32,214,2.26,0.32,160,5.51
Fordham,Atlantic 10,29-29,0.500,227,7.17,225,3.88,244,6.96,176,2.67,0.39,256,3.86
N Kentucky,Horizon,20-34,0.370,228,7.17,232,3.60,227,7.31,230,2.04,0.17,184,5.23
G Washington,Atlantic 10,24-33,0.421,229,7.16,223,3.88,233,7.18,193,2.45,0.32,223,4.50
Monmouth NJ,Metro Atlantic,30-27,0.526,230,7.15,239,3.43,223,7.34,241,1.83,0.27,260,3.79
Buffalo,Mid-American,21-31,0.404,231,7.14,219,4.00,250,6.90,157,2.84,0.23,233,4.37
UTRGV,Western Athletic,18-28,0.391,232,7.13,231,3.64,242,6.98,196,2.42,0.17,213,4.69
N Colorado,Western Athletic,16-34,0.320,233,7.13,236,3.52,207,7.55,245,1.72,0.33,163,5.45
Charleston So,Big South,19-34,0.358,234,7.13,227,3.83,259,6.79,161,2.79,0.33,192,5.09
Penn,Ivy League,19-22,0.463,235,7.12,220,3.99,246,6.93,160,2.81,0.26,264,3.77
Villanova,Big East,20-32,0.385,236,7.12,229,3.79,217,7.42,225,2.12,0.21,217,4.59
Purdue,Big 10,10-44,0.185,237,7.09,214,4.12,228,7.30,186,2.57,0.33,96,6.45
Sacred Heart,Northeast,30-28,0.517,238,7.09,238,3.47,266,6.73,190,2.49,0.16,274,3.48
Dartmouth,Ivy League,18-25,0.419,239,7.08,235,3.53,286,6.13,137,3.14,0.17,220,4.52
SUNY Albany,America East,23-30,0.434,240,7.05,240,3.38,251,6.88,216,2.25,0.21,251,4.02
Harvard,Ivy League,17-24,0.415,241,7.04,230,3.77,260,6.78,168,2.73,0.24,247,4.06
Youngstown St,Horizon,14-38,0.269,242,7.03,254,2.79,247,6.93,253,1.61,0.14,136,5.91
Dayton,Atlantic 10,19-36,0.345,243,7.03,242,3.27,264,6.75,212,2.28,0.28,209,4.75
E Illinois,OH Valley,15-39,0.278,244,7.01,243,3.25,200,7.70,267,1.30,0.33,162,5.47
Bowling Green,Mid-American,17-37,0.315,245,7.01,248,3.04,284,6.20,185,2.59,0.05,181,5.23
Towson,Colonial,20-35,0.364,246,7.00,245,3.21,213,7.50,258,1.46,0.26,227,4.46
VMI,Southern,21-35,0.375,247,6.98,247,3.07,198,7.72,273,1.10,0.29,235,4.34
MA Lowell,America East,20-32,0.385,248,6.98,253,2.91,270,6.63,233,2.03,0.22,231,4.43
Brown,Ivy League,15-24,0.385,249,6.97,255,2.77,265,6.73,242,1.78,0.09,226,4.47
Massachusetts,Atlantic 10,18-27,0.400,250,6.97,246,3.12,269,6.64,219,2.22,0.29,249,4.05
Quinnipiac,Metro Atlantic,21-31,0.404,251,6.96,252,2.91,255,6.82,240,1.84,0.21,245,4.10
Yale,Ivy League,19-28-1,0.406,252,6.95,260,2.61,243,6.98,262,1.38,0.24,236,4.34
Citadel,Southern,17-42,0.288,253,6.93,263,2.52,253,6.85,261,1.42,0.35,175,5.30
Central Conn,Northeast,23-34,0.404,254,6.93,250,2.94,289,6.10,184,2.59,0.19,254,3.93
Incarnate Word,Southland,13-38,0.255,255,6.92,264,2.48,262,6.77,257,1.46,0.27,140,5.85
Marist,Metro Atlantic,24-27,0.471,256,6.91,244,3.24,249,6.90,228,2.09,0.32,285,2.84
Cornell,Ivy League,14-24,0.368,257,6.90,265,2.43,276,6.44,244,1.75,0.30,239,4.24
