Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Texas A&M,Southeastern,49-16,0.754,1,9.12,1,11.18,1,11.19,7,5.74,0.31,15,7.71
Florida,Southeastern,52-16,0.765,2,9.10,4,10.79,23,10.13,1,6.41,0.27,9,7.87
Louisville,Atlantic Coast,50-14,0.781,3,9.05,3,10.91,6,10.70,5,5.97,0.39,43,7.19
TCU,Big 12,49-18,0.731,4,9.01,2,11.05,4,10.75,3,6.05,0.30,8,7.90
Miami FL,Atlantic Coast,50-14,0.781,5,8.93,9,9.86,12,10.55,23,5.07,0.27,37,7.26
Mississippi St,Southeastern,44-18-1,0.706,6,8.88,6,10.03,19,10.28,9,5.51,0.30,25,7.54
Vanderbilt,Southeastern,43-19,0.694,7,8.85,5,10.10,13,10.49,11,5.36,0.26,16,7.69
Texas Tech,Big 12,47-20,0.701,8,8.82,10,9.79,11,10.58,25,4.96,0.35,10,7.85
LSU,Southeastern,45-21,0.682,9,8.82,8,9.87,7,10.66,26,4.96,0.19,14,7.75
Mississippi,Southeastern,43-19,0.694,10,8.80,17,9.53,25,10.04,14,5.24,0.24,13,7.76
Arizona,Pac 12,49-24,0.671,11,8.79,7,9.92,29,9.93,6,5.74,0.22,6,7.93
Oklahoma St,Big 12,43-22,0.662,12,8.76,12,9.75,53,9.51,4,5.98,0.16,18,7.66
Coastal Car,Big South,55-18,0.753,13,8.76,16,9.55,22,10.13,20,5.17,0.25,81,6.75
South Carolina,Southeastern,46-18,0.719,14,8.72,18,9.29,32,9.85,19,5.19,0.44,62,7.01
Florida St,Atlantic Coast,41-22,0.651,15,8.67,14,9.67,3,10.81,51,4.61,0.43,35,7.32
NC State,Atlantic Coast,38-22,0.633,16,8.65,15,9.65,15,10.41,24,4.98,0.36,32,7.36
North Carolina,Atlantic Coast,34-21,0.618,17,8.61,13,9.74,20,10.27,17,5.21,0.30,38,7.26
California,Pac 12,32-21,0.604,18,8.61,11,9.75,18,10.31,18,5.19,0.23,23,7.56
Clemson,Atlantic Coast,44-20,0.688,19,8.60,28,8.75,5,10.73,99,3.77,0.20,45,7.17
UC Santa Barbara,Big West,43-20-1,0.680,20,8.60,30,8.69,72,9.23,16,5.22,0.24,24,7.55
Oregon St,Pac 12,35-19,0.648,21,8.57,20,9.01,38,9.68,22,5.08,0.28,26,7.48
Dallas Bap,Missouri Val,44-19,0.698,22,8.56,22,8.89,24,10.08,53,4.55,0.26,68,6.88
CS Fullerton,Big West,36-23,0.610,23,8.55,19,9.21,128,8.63,2,6.33,0.27,22,7.56
Rice,Conference USA,38-24,0.613,24,8.52,26,8.79,78,9.18,12,5.36,0.22,20,7.59
Stanford,Pac 12,31-23,0.574,25,8.52,25,8.83,87,9.03,8,5.55,0.36,7,7.91
Southern Miss,Conference USA,41-20,0.672,26,8.52,23,8.88,16,10.38,70,4.25,0.38,66,6.92
Long Beach St,Big West,38-22,0.633,27,8.50,27,8.78,70,9.25,13,5.28,0.10,39,7.25
Arizona St,Pac 12,36-23,0.610,28,8.50,48,8.08,82,9.12,41,4.71,0.15,5,7.94
Georgia Tech,Atlantic Coast,38-25,0.603,29,8.46,34,8.49,17,10.36,92,3.89,0.29,33,7.35
Louisiana Tech,Conference USA,42-20,0.677,30,8.46,29,8.70,35,9.70,37,4.76,0.30,108,6.34
Virginia,Atlantic Coast,38-22,0.633,31,8.45,31,8.66,21,10.17,72,4.24,0.19,74,6.81
Louisiana,Sun Belt,43-21,0.672,32,8.45,36,8.45,94,8.98,15,5.22,0.23,78,6.76
Gonzaga,West Coast,36-21,0.632,33,8.45,38,8.42,40,9.67,55,4.51,0.30,44,7.19
Washington,Pac 12,33-23,0.589,34,8.44,44,8.28,69,9.25,36,4.77,0.24,17,7.68
Tulane,American Athletic,41-21,0.661,35,8.44,43,8.29,71,9.25,35,4.79,0.34,72,6.81
BYU,West Coast,37-17,0.685,36,8.42,24,8.86,2,10.88,102,3.73,0.36,120,6.20
New Mexico,Mountain West,39-23,0.629,37,8.42,21,8.89,9,10.59,81,4.05,0.24,70,6.85
USC,Pac 12,28-28,0.500,38,8.42,33,8.56,37,9.69,49,4.62,0.22,2,8.05
FL Atlantic,Conference USA,39-19,0.672,39,8.39,40,8.34,64,9.28,34,4.82,0.25,100,6.39
Oregon,Pac 12,29-26,0.527,40,8.39,35,8.46,61,9.33,30,4.87,0.34,12,7.77
Alabama,Southeastern,32-26,0.552,41,8.36,56,7.96,135,8.56,21,5.15,0.23,27,7.42
West Virginia,Big 12,36-22,0.621,42,8.36,51,8.02,51,9.52,71,4.25,0.13,61,7.01
Ohio St,Big 10,44-20-1,0.685,43,8.35,57,7.96,90,9.01,42,4.70,0.35,113,6.30
Wright St,Horizon,46-17,0.730,44,8.35,32,8.58,26,10.00,65,4.33,0.17,168,5.39
Oklahoma,Big 12,30-27-1,0.526,45,8.33,41,8.33,42,9.64,58,4.44,0.32,21,7.58
East Carolina,American Athletic,38-23-1,0.621,46,8.33,60,7.87,97,8.93,43,4.69,0.16,71,6.81
Boston College,Atlantic Coast,35-22,0.614,47,8.33,62,7.86,121,8.72,29,4.89,0.16,69,6.86
Sam Houston St,Southland,42-22,0.656,48,8.33,52,8.01,60,9.35,60,4.41,0.20,106,6.35
Missouri St,Missouri Val,38-21,0.644,49,8.32,37,8.44,14,10.46,101,3.73,0.30,123,6.16
Houston,American Athletic,36-23,0.610,50,8.32,49,8.06,155,8.32,10,5.50,0.23,77,6.76
Michigan,Big 10,36-21,0.632,51,8.30,47,8.20,30,9.90,82,4.04,0.38,97,6.43
Kentucky,Southeastern,32-25,0.561,52,8.29,54,8.00,83,9.11,48,4.64,0.31,53,7.09
Texas,Big 12,25-32,0.439,53,8.29,39,8.36,58,9.39,39,4.72,0.20,3,7.96
Tennessee,Southeastern,29-28,0.509,54,8.29,42,8.33,47,9.59,56,4.49,0.25,31,7.37
St Mary's CA,West Coast,33-25,0.569,55,8.29,58,7.91,91,9.00,47,4.66,0.20,42,7.19
UCLA,Pac 12,25-31,0.446,56,8.27,67,7.68,68,9.26,77,4.18,0.23,1,8.33
Minnesota,Big 10,36-22,0.621,57,8.25,53,8.01,55,9.49,67,4.27,0.29,112,6.31
Nebraska,Big 10,37-22,0.627,58,8.25,68,7.68,105,8.86,52,4.57,0.33,91,6.57
Pepperdine,West Coast,29-24,0.547,59,8.24,61,7.86,122,8.71,28,4.90,0.25,51,7.10
Connecticut,American Athletic,38-25,0.603,60,8.24,45,8.27,59,9.35,46,4.66,0.25,116,6.23
SE Louisiana,Southland,40-21,0.656,61,8.23,65,7.78,63,9.28,69,4.25,0.50,146,5.73
Nevada,Mountain West,37-24,0.607,62,8.23,63,7.84,27,9.97,113,3.62,0.18,90,6.57
Indiana St,Missouri Val,35-21,0.625,63,8.23,71,7.57,81,9.12,76,4.19,0.17,104,6.35
Michigan St,Big 10,36-20,0.643,64,8.22,69,7.65,136,8.55,31,4.85,0.14,115,6.27
South Alabama,Sun Belt,42-22,0.656,65,8.22,72,7.48,110,8.84,62,4.39,0.39,128,6.08
UNC Wilmington,Colonial,41-19,0.683,66,8.21,50,8.06,8,10.63,134,3.18,0.53,182,5.23
